"switch from visual basic to go"	0
"move from go to c#"	0
"moved to java from swift"	0
"switched from c++ to visual basic"	0
"move from php to python"	574
"move from perl to python"	845
"switched to visual basic from c#"	0
"move from c# to swift"	0
"move to python from visual basic"	0
"switched to c# from java"	3
"switch from ruby to c#"	0
"switched from swift to go"	0
"switch from visual basic to c"	5
"switch to python from visual basic"	0
"moved to visual basic from node"	0
"moved from php to visual basic"	0
"moved to python from visual basic"	0
"switched to c# from node"	0
"switched from python to php"	9
"moved to go from c#"	0
"moved to java from php"	2
"switched to php from perl"	8
"moved from php to c++"	1
"switched to perl from visual basic"	0
"move to php from ruby"	0
"moved to go from visual basic"	0
"switched to php from go"	0
"move from visual basic to perl"	0
"move from node to c"	0
"moved from c# to python"	5
"switch to node from php"	1
"switch from c to go"	6
"moved to node from go"	0
"switch from php to c++"	4
"switch to c++ from ruby"	0
"move from python to visual basic"	0
"switched from ruby to c#"	0
"switch from ruby to java"	7
"switch to python from c#"	0
"moved from php to java"	9
"moved to c# from swift"	0
"switch from perl to go"	1
"moved to perl from ruby"	0
"move to php from node"	0
"switch from java to c#"	2030
"move to ruby from swift"	0
"switch from c# to python"	1490
"switched from c to c#"	5
"move from node to java"	6
"switched from perl to c#"	0
"switched to node from swift"	0
"switch from c# to visual basic"	1180
"switch from c# to php"	4
"move from perl to swift"	0
"move to visual basic from go"	0
"move to node from perl"	0
"switched to swift from c#"	0
"switched to c# from python"	0
"switched to c from c++"	1
"move from java to go"	2
"move to c++ from java"	6
"move to python from c"	1
"move to php from c++"	0
"moved from python to swift"	0
"moved from c++ to php"	2
"moved to python from ruby"	0
"move from perl to php"	8
"moved from java to python"	1660
"switch from java to python"	1460
"switch from perl to php"	418
"move to go from c++"	0
"move to c# from perl"	0
"moved from swift to c"	0
"moved to perl from c++"	0
"switch to c++ from java"	10
"move to perl from go"	0
"switched from go to visual basic"	0
"switched to php from ruby"	2
"switched from node to c"	0
"switch from node to swift"	0
"moved to c++ from swift"	0
"switched to perl from ruby"	0
"move from go to python"	0
"moved to php from c++"	0
"switch from perl to c#"	0
"switch from c++ to ruby"	1
"switch to go from ruby"	0
"switch to c# from go"	0
"switched from python to go"	6
"switched to java from visual basic"	0
"switch from swift to php"	0
"switch from c# to c++"	8
"switched from c# to visual basic"	0
"switch to node from go"	0
"move from perl to java"	507
"switched from perl to swift"	0
"switch to swift from python"	0
"move from php to visual basic"	0
"move to visual basic from php"	0
"move to swift from ruby"	0
"switch from python to php"	5
"move to c++ from perl"	2
"switch from ruby to php"	3
"switch to c from python"	0
"move from java to swift"	6
"move to c++ from visual basic"	0
"move from c to go"	50500
"move from c++ to visual basic"	0
"switched to go from visual basic"	0
"move to visual basic from node"	0
"switched from java to swift"	2
"switched to python from ruby"	1
"switch from node to go"	8
"switch from java to go"	15600
"move from java to perl"	0
"moved from c# to go"	2
"move to perl from node"	0
"switched to c# from go"	0
"switch from perl to python"	3140
"move from go to perl"	0
"moved to node from java"	0
"switch from swift to c"	0
"move from c++ to go"	1
"switch to c from visual basic"	0
"moved to php from visual basic"	0
"switch from c to c#"	3
"switch to swift from c++"	0
"move to python from c++"	0
"switch to visual basic from php"	0
"switched from ruby to java"	477
"move from perl to c"	6
"moved from python to node"	1
"move to node from c#"	0
"moved to c++ from visual basic"	0
"switched to swift from go"	0
"move to go from swift"	0
"switched to php from c"	0
"switched from php to ruby"	935
"moved to node from c#"	0
"moved from c++ to visual basic"	3
"switch from ruby to c"	468
"move to node from c"	0
"moved to java from c++"	4
"switch from go to visual basic"	0
"move to c++ from python"	1
"switch to visual basic from c#"	0
"move from swift to c"	3
"switched from perl to node"	0
"switch from php to node"	575
"switched from c# to swift"	0
"move from java to c++"	6
"move to php from java"	1
"move to ruby from go"	0
"moved to php from c#"	0
"switched to visual basic from perl"	0
"move from c to perl"	5
"switch from swift to go"	0
"switch from visual basic to php"	239
"switch to node from perl"	0
"switch to c from node"	0
"move to go from java"	7920
"move from node to go"	0
"moved from perl to java"	5
"switched from c to c++"	2970
"moved to c++ from node"	0
"switch to ruby from c"	0
"switched from node to ruby"	1
"switch to c from c++"	3
"switched from java to ruby"	457
"moved from swift to php"	0
"move from c# to perl"	0
"switch from visual basic to node"	0
"switched to swift from java"	0
"moved to ruby from visual basic"	0
"move to java from c++"	1
"switch to python from go"	0
"move from go to php"	0
"move to python from swift"	0
"stayed with c"	182000
"switched from node to php"	1
"switch to java from c++"	3
"switch from php to perl"	7
"switch from php to swift"	0
"switch from c to python"	2630
"move to swift from c"	0
"move from perl to ruby"	1040
"switch from node to c++"	0
"move to c# from swift"	0
"stayed with php"	22200
"switched from swift to python"	0
"move from go to ruby"	0
"switch to c# from php"	0
"switched from go to java"	0
"switch from go to c"	1
"switched to go from c++"	0
"moved from visual basic to c++"	0
"moved to php from node"	0
"switched to ruby from java"	3
"switch from java to ruby"	892
"switch to python from ruby"	2
"switch to java from c"	5
"switched to python from c#"	1
"moved to visual basic from python"	0
"moved to swift from python"	0
"switched to perl from c++"	0
"move from visual basic to node"	0
"switch to swift from php"	0
"switch to python from node"	0
"switch to php from c"	1
"move to c++ from node"	0
"moved to c# from perl"	0
"moved from swift to java"	0
"move to php from python"	0
"switch to php from python"	1
"switched from python to visual basic"	0
"move from c to visual basic"	0
"switched to c# from visual basic"	0
"switch to c++ from swift"	0
"switch to c++ from node"	0
"switch to c from java"	2
"switch to visual basic from c"	0
"moved to go from c"	1
"move from node to python"	1
"switched to perl from node"	0
"moved to c# from ruby"	0
"stay with go"	384000
"switch from c to ruby"	1
"move to swift from visual basic"	0
"moved from java to visual basic"	0
"move from c to swift"	0
"moved from node to c#"	1
"switched from php to swift"	0
"switch to perl from c"	0
"switched from ruby to visual basic"	0
"switched to perl from python"	2
"moved from php to swift"	0
"move from swift to c++"	0
"switched to python from java"	714
"move to perl from visual basic"	0
"switch to perl from node"	0
"moved to python from node"	0
"move to php from go"	0
"move from java to c"	2850
"stay with java"	157000
"move to python from java"	3
"switch from python to perl"	10
"moved from ruby to c#"	1
"switch to visual basic from perl"	0
"move to node from python"	0
"switch to go from php"	0
"move from c to python"	9
"stayed with java"	14900
